maneuver,episode,seed,forced_ego_zero_speed,crashed_after_one_step,terminated,truncated,initial_dist_center,initial_speed,post_step_dist_center,post_step_ego_speed,conflict_ttc,initial_vehicle_count,spawn_probability,duration,negotiating_traffic
left,75,151075,True,False,False,False,49.786529541015625,10.0,49.786529541015625,0.0,inf,6,0.35,22,False
left,76,151076,True,False,False,False,48.609840393066406,10.0,48.609840393066406,0.0,inf,6,0.35,22,False
left,77,151077,True,False,False,False,41.99468994140625,10.0,41.99468994140625,0.0,inf,6,0.35,22,False
left,78,151078,True,False,False,False,50.55970764160156,10.0,50.55970764160156,0.0,inf,6,0.35,22,False
left,79,151079,True,False,False,False,46.75913619995117,10.0,46.75913619995117,0.0,inf,6,0.35,22,False
left,80,151080,True,False,False,False,47.335514068603516,10.0,47.335514068603516,0.0,inf,6,0.35,22,False
left,81,151081,True,False,False,False,45.86644744873047,10.0,45.86644744873047,0.0,inf,6,0.35,22,False
left,82,151082,True,False,False,False,42.495018005371094,10.0,42.495018005371094,0.0,inf,6,0.35,22,False
left,83,151083,True,False,False,False,41.982913970947266,10.0,41.982913970947266,0.0,inf,6,0.35,22,False
left,84,151084,True,False,False,False,42.718082427978516,10.0,42.718082427978516,0.0,inf,6,0.35,22,False
left,85,151085,True,False,False,False,46.54230499267578,10.0,46.54230499267578,0.0,inf,6,0.35,22,False
left,86,151086,True,False,False,False,39.497615814208984,10.0,39.497615814208984,0.0,inf,6,0.35,22,False
left,87,151087,True,False,False,False,49.59788131713867,10.0,49.59788131713867,0.0,inf,6,0.35,22,False
left,88,151088,True,False,False,False,47.1424446105957,10.0,47.1424446105957,0.0,inf,6,0.35,22,False
left,89,151089,True,False,False,False,42.896942138671875,10.0,42.896942138671875,0.0,inf,6,0.35,22,False
left,90,151090,True,False,False,False,38.9504508972168,10.0,38.9504508972168,0.0,inf,6,0.35,22,False
left,91,151091,True,False,False,False,36.677085876464844,10.0,36.677085876464844,0.0,inf,6,0.35,22,False
left,92,151092,True,False,False,False,44.09176254272461,10.0,44.09176254272461,0.0,inf,6,0.35,22,False
left,93,151093,True,False,False,False,44.34097671508789,10.0,44.34097671508789,0.0,inf,6,0.35,22,False
left,94,151094,True,False,False,False,41.094459533691406,10.0,41.094459533691406,0.0,inf,6,0.35,22,False
left,95,151095,True,False,False,False,40.87831115722656,10.0,40.87831115722656,0.0,inf,6,0.35,22,False
left,96,151096,True,False,False,False,40.146358489990234,10.0,40.146358489990234,0.0,inf,6,0.35,22,False
left,97,151097,True,False,False,False,47.956565856933594,10.0,47.956565856933594,0.0,inf,6,0.35,22,False
left,98,151098,True,False,False,False,45.4644660949707,10.0,45.4644660949707,0.0,inf,6,0.35,22,False
left,99,151099,True,False,False,False,47.05790710449219,10.0,47.05790710449219,0.0,inf,6,0.35,22,False
