maneuver,seed,forced_zero_steps,collided_after_forced_zero,arrived_after_forced_zero,ego_found,initial_ego_speed,ego_speed_after_step,ego_distance_from_center,vehicle_count_after_reset,min_ttc_seen,min_conflict_ttc_seen,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,episode
left,160016,3,False,False,True,10.0,0.0,44.15057725278531,8,9.79069593727041,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,16
left,160017,3,False,False,True,10.0,0.0,51.143955881134715,7,8.682484143894243,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,17
left,160018,3,False,False,True,10.0,0.0,49.34788199693951,8,11.828242988928432,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,18
left,160019,3,False,False,True,10.0,0.0,53.3248342801583,7,15.676955389487711,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,19
left,160020,3,False,False,True,10.0,0.0,41.944033910155724,7,3.1426874101829303,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,20
left,160021,3,False,False,True,10.0,0.0,53.00797524014537,11,7.482936475872142,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,21
left,160022,3,False,False,True,10.0,0.0,48.16284923986151,9,2.825648156649285,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,22
left,160023,3,False,False,True,10.0,0.0,45.62929197772139,7,7.510920242553147,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,23
left,160024,3,False,False,True,10.0,0.0,53.20637626092685,8,3.205439457780146,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,24
left,160025,3,False,False,True,10.0,0.0,48.72528554027559,11,3.888780163898891,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,25
left,160026,3,False,False,True,10.0,0.0,50.55440373626291,8,12.110127080398902,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,26
left,160027,3,False,False,True,10.0,0.0,46.2769497403331,10,7.097811205205506,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,27
left,160028,3,False,False,True,10.0,0.0,42.22658680869276,6,4.34000377872241,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,28
left,160029,3,False,False,True,10.0,0.0,45.32390787559293,8,2.309959427385226,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,29
